name,date,rating,content,like
Kato Aikana,2019年6月15日,4,色んな曲が聴けて良いです。 外国の曲が充実しているように思います。 自分のライブラリを出したいとき、戻るボタンを何度も押さないと行けないのですが、他の方法があるのでしょうか？,27
中島由翔,2019年5月3日,1,トライアル期間が登録した瞬間に終わる。 1ヶ月無料ではなかったのか？とんだ詐欺アプリだ。一生このアプリを使う事は無いだろうね。,20
大好きキャンプ,2019年8月20日,1,3年位解約したはずなのに980円払い続け出た事に最近気付いたのでびっくり! 金返せ! 会員なのに何も連絡が来なかった！！ 最悪！,2
わさ,2019年6月26日,1,解約手続きをしたのに3年以上980円を払わされてます。アカウントを調べても存在しないと出る。早く解約したい……,30
矢箸,2019年5月23日,4,概ね便利に使わせてもらっています。ライセンス取得失敗と出てきて音楽が再生されないときがあります。,1
SACHI HOSHI,2019年11月1日,1,今日なぜか真っ黒になって起動しないです。,9
田邊碧,2018年9月18日,3,私はk-popが好きなのですがNCTの曲が少ないです。韓国語の曲も増やして欲しいです。,1
r r,2019年5月23日,3,解約できない。悪質。 設定の1番下に解約が出てくるというが出てこない。,4
清水弥生,2019年11月29日,1,定期購入も解約し、退会もしてるのに請求がくるのはなぜですか？,1
関暁夫,2018年12月18日,1,好きなアーティストがない....。B'zやL'Arc～en～Cielやback numberなどの邦ロックバンドが殆んど無いのが本当に残念です。 好きな曲が聴けないのに月1000円は高いです。,7
そのみん,2019年6月23日,2,データ量多すぎ。めっちゃ重くなるけど…。改善してほしい。今後に期待して2個,1
青木茂雄,2018年12月25日,5,懐かしい曲や大好きなアーティストが聴けて、自分にとってお気に入りです。,4
古賀不二生,2019年8月2日,1,１ヶ月無料しか無いの？定期購入する値段が1080円？ぼったくりや😠せめて、３ヶ月無料や１年間無料は無いん？,0
SAKURA桜花,2019年5月16日,4,検索履歴が保存されないので、毎回行う必要があり面倒,1
だいぅく,2019年7月19日,1,アルバムをダウンロードしたのに１曲だけネットに接続出来なくてダウンロード出来ない。,3
舞浜たゆ,2019年9月23日,4,1ヶ月無料じゃなくて、完全無料だったら星5。,1
Googleユーザー,2018年11月30日,2,1ヶ月無料だから入れたのにプレミアム会員にならないと何も使えなかった,5
Googleユーザー,2019年2月11日,1,間違えて課金したみたいなので 解約手続きをして欲しい。,4
aki nao,2019年2月17日,3,曲が…少ないですね…コレで月額980円はどうかと…,5
Group Team,2018年10月23日,5,Kpopなどのアジア洋楽に強く邦楽 洋楽はバランス良く入ってる 洋楽を多く聴くならSpotify 邦楽を多く聴くならAWA 学生でお金がないならLINE ミュージック kpop多めならkkbox どれも同じくらいならgoogle Play Music iPhoneならApple Music,9
コタロウ,2019年4月19日,5,以前は動作が異様に重たくて困っていたのですが、最近のアップデートで解消されました。 やっぱり使いやすいです。,20
西舘直之,2018年11月12日,1,退会したのに月額とられています。返してください。,5
なかしまゆうと,2019年7月3日,2,トライアル期間が登録した瞬間に終了するのですが…,0
辻本昌仁,2018年12月21日,5,音質も良く重宝しています。,2
森田雄眞,2018年12月3日,1,曲がキャッシュ出来ない！,3
Googleユーザー,2018年9月27日,5,すごく聴きやすくていいアプリです！！,7
浅野真吾,2018年12月24日,5,楽曲は少ないが質は良い,1
須藤宏尚,2019年4月28日,1,くそアプリ。運営もクズと役立たずばかりで、どうしようもない。,5
Googleユーザー,2019年1月30日,5,パイプラインが、懐かしい、。,3
GUNJI TAKUYA,2018年10月21日,4,もっと曲配信増やして,0
冬樹木村,2020年3月11日,1,すぐ曲が止まる,0
小林一幸,2018年12月16日,5,使い勝手が非常に良いと思います。,0
Googleユーザー,2018年12月2日,2,歌詞は必ず載せて欲しい。,1
坂本真一,2019年10月19日,4,曲使用の承諾がときどき切れる？,0
加藤絢士,2019年4月30日,3,他の音楽アプリにからべたら全然いいよ～,2
Hajime Sato,2019年4月4日,4,下さいÿ下さいさいtgrefreezer!fixくださいからGFＣＲＴＴしていますfcrtgerm?!ＧＧＹＦＤＧtv下さい下さいＴＴasyty,2
Googleユーザー,2018年10月14日,5,一部のアーティストの曲が聞けない,1
Googleユーザー,2019年3月10日,5,歌詞の表示が嬉しい,1
坂上レイナ,2020年2月29日,1,悪質なアプリ,0
高尾一樹,2019年12月4日,5,使いやすいと思います,0
宮川翔,2019年11月30日,5,いい曲だよ,0
小澤仁,2020年3月16日,1,長渕剛の初期の頃の曲入れて欲しい 矢沢永吉のないアルバム入れて欲しい ザ・ブルーハーツ入れて欲しい,0
空前絶後のcrazy,2019年12月8日,1,サザンオールスターズと桑田佳祐 長渕剛や矢沢永吉の入ってないアルバムをもっと入れて欲しい,0
Googleユーザー,2019年2月22日,5,BTSの歌が、聴けてとても嬉しいです,1
廣川上総,2018年10月10日,4,K-POPをもう少し増やして欲しいですね…。,2
*萌,2019年5月5日,5,使いやすくて良いと思います(*´ω｀*),1
大滝正人,2019年5月14日,5,B'zさんの曲を入れて欲しいです,1
大石健,2018年10月10日,5,古い曲とかもアップして欲しい,1
高詞桑田,2019年5月15日,4,使いやすくて良い。,1
谷口睦子,2019年2月9日,5,好きな曲入れてよく聞いてます‼️,8
Googleユーザー,2019年2月25日,5,いろいろ、聞けるからいい,0
Googleユーザー,2018年11月9日,5,昔から使ってる。,2
汁味噌,2018年12月5日,5,最高の一言です,0
木下秀之,2018年10月11日,4,使いやすいと思います,2
mt m,2018年12月19日,4,音が良いです。,2
yoshito imai,2020年3月3日,1,ない,0
さはらかなや,2020年1月21日,5,良き,0
田中秀治,2019年11月1日,3,今までほぼ毎日使ってました 一昨日にアップデートしてからは一度使えたのに、そのあとは画面が真っ黒で全く起動しない もう48時間以上使えない！なんか最悪,0
藤綺雪,2019年11月4日,1,更新之後就無法開起了，一直黑屏,0
新山勝政,2019年7月31日,1,以前はメールや電話の着信した時は着信音がして音楽は止まらなかったのに今はとまりアプリを起動しないといけないのでそれではブルトゥースの意味がないので以前みたいにして欲しいです。,2
石田智行,2019年6月5日,5,使いやすい,0
清水健太,2019年6月19日,3,いいよー,0
吉川侑介,2019年6月1日,5,楽しいです。,0
なかやまのりひさ,2019年4月18日,5,とってもいい❗,0
Koya,2019年2月15日,4,"AWA や LINE MUSIC がリリースされるよりもずっと昔からやっている「老舗」の聴き放題サービス。台湾の企業が運営している。自動で動く歌詞があったりと、アプリはよく作り込まれていると思う。月 1,080 円という、Google Play Music (月 980 円)や LINE MUSIC の学割(月 480 円)と比べると高めの料金設定。",11
satoru nishikawa,2018年12月8日,5,歌詞が表示されるのがいいね。中国語は一ミリも分からないけどCPOPは好きなのでこのサービスがベスト。他社のいろいろなサービスも併用して使ってるけどこれがリコメンド機能やUI含めて結局一番使いやすい。,15
Googleユーザー,2018年10月6日,5,最高😃⤴️⤴️,1
猫舌の猫,2018年9月2日,1,日本の曲はあるのはあるけど有名な曲だけしかないです。それに有料会員しか退会できないので無料会員とお試し会員で登録する場合は気をつけてください。もしかすると情報が抜き取られるかもしれません。タイムラインみたいに曲を共有できるみたいですが日本人は少ないのでおすすめできないです。,6
#TATSUYA,2018年9月8日,5,,4
butomo,2018年8月29日,3,アジア圏の音楽に強いと聴いて利用し始めました。台湾発のアプリだけあって中華圏の曲は多いですが、私は韓国の曲も聴くので、試しにZion.Tを調べてみると一曲だけしかない！K-POPはカバーしててもR&Bはカバーしてないのでしょうか。ちょっと残念でした。,2
Googleユーザー,2018年8月22日,1,解約したはずなのに支払いが来ていて、電話番号も分からず、退会の仕方も分かりません。 はっきりいってクソですね,12
takashi kuroki,2018年8月27日,5,1ｶ月🌕無料で聴いています。いいね👍音源に拘る自分としては、最高😃⤴️⤴️テンション上がりました。,3
にゃんこ先生,2018年8月31日,2,全体的に重くなった。,6
櫻井美優,2018年10月2日,5,使いやすい！,0
Googleユーザー,2018年8月9日,1,アプリが開けずアンインストールしてまた入れても落ちる。 SD入れてても挿入されてないから落とせませんのような表示もされた。 会員なのにすごく困る。,13
Googleユーザー,2018年8月20日,3,電源切っても聴けるとこが好き。入ってる曲もまあまあ聴きたい曲あるからいいけど、欲を言うとアニソンあるともっといいな〜。アニソンが一番好きだから、やっぱりアニソンあるのと無いのとじゃ違うよねー。,2
Chihiro Takaku,2018年8月11日,5,失礼ですけど名前がダサい感じがするけど、使いやすいのとメールアドレスとパスワードさえあれば簡単に一ヶ月試用が出来るのが素晴らしいです。,5
Googleユーザー,2018年8月6日,1,どうやってログインするのかわからないしアカウントかぶるのは当たり前だから簡単にログイン出来るようにしてほしい,4
吉田陽子,2018年8月13日,2,オフラインでも聞けるのは凄くいい♪けど曲が無い事が多々あるのが残念。,1
石橋潤一郎,2018年8月8日,3,音は良いと思いますが！使い勝手でゆうとAWAの方が優るかなと‼️,2
Googleユーザー,2018年8月5日,1,ニューアルバム出たらすぐいれろよ,3
河内庸男,2018年8月8日,4,懐かしい曲から現在の曲を聞けて嬉しいです❗,0
Hisada Fumi,2018年8月4日,5,台湾の好きな歌がダウンロード出来るのがうれしいです。,1
かほ,2018年8月13日,5,楽しい！,0
J Lai,2018年7月15日,5,"a good app with lots of songs for download. hope more singers join this app 
so that more songs available",7
鮭トバ,2018年7月20日,3,クロスフェードの意味が無い,2
人生のモブ,2018年5月12日,1,"好きなジャンルの曲を選べって出てきたから選んで押したのにそのあと強制的にホーム画面に戻されました。 
また同じようにアプリを開いても好きなジャンル選んだあとは強制的にホーム行きです。 課金するにできない状況ですし最悪です 改善される事を願います",23
猫寝子,2018年6月23日,3,"Apple Musicが不具合ばかりで使いにくく、結局KKBOXに落ち着きました。 
ただ歌詞のズレが酷い…そこが治らないようであればAWAに戻ろうかな…。 
きせかえ機能がかわいくてお気に入りなのでそこももっと更新されていったら嬉しいです。",3
大熊瑠夏,2018年6月27日,4,"このごろは、問題なく聴けるようになった。けど時間が経つと 国内試聴不可になるのはどうしてなんだろう？( ﾟーﾟ) 
新しくキャッシュ、DLすると聴けるようになったリする曲もあるけど でも聴きたいジャンルが豊富。(*^^*)",6
JIMI GENGEN,2018年6月18日,1,"落ちるし、着信したら毎回毎回開き直さないと成らず、イライラする。 
開くのさえホーム？に戻るのでプレイリスト等からプレイヤー再起動しなきゃ成らずうざい！楽天モバイルだから使ってるが、余りに酷かったらアンストする",5
あきしょー,2018年5月11日,3,"リクエストしても全然曲がない。リクエスト機能の意味がない 他のアプリと比べて曲が少ないと思う。LINE 
MUSICにはあるのにこのアプリにはないって結構ある",12
さとにし,2018年6月9日,2,金を払ってるんやからもっと曲を出してほしい このくらいの曲数やったら無料アプリの方が断然得やわ,8
M S,2018年6月24日,4,"私が聴きたい曲があって嬉しい キャッシュすればどこにいても聴けるし… けど1カ月だけ無料なのがちょっと残念 
無理かもしれないけどずっと無料で聴きたいそしたら最高のアプリだと思う。 もしよかったら改善よろしくお願いします。",3
もりしー,2018年7月13日,2,有名曲ほどオルゴールのみで聞けない,5
りんりん,2018年5月25日,3,更新してから曲が一切聞けないんだけど･･･お金払ってるんだから何とかして お気に入りのアプリだっただけにこれは残念,1
健太内藤,2018年6月11日,1,最近調子が悪くて起動しにくい,3
Googleユーザー,2018年7月5日,3,凄くいいからしょうがないかなとは思いますけど、ずっと無料で使えないことと、有料会員じゃないと退会出来ないことが残念です。,2
キョウ,2018年5月26日,1,起動せんのなら登録解除させろや,3
地神有能,2018年6月27日,5,無料にしてくれたら本当に嬉しい…,3
Googleユーザー,2018年6月16日,1,フリーズしすぎ。,5
―いっちー―ichi,2018年6月23日,5,いいゾ＾〜これ,4
のり,2018年6月13日,2,オルゴールまみれ,1
須藤敏志,2018年5月9日,5,"2016年記入:いろんなアプリを渡り歩いてきましたが、KKBOXが一番自分に合ってるようです。何と言っても、聞いた曲がキャッシュされるため、飛行機の中でも通信を気にせずに聞くことが出来ます。またSDカードにも保管できるのがGood！更にPCとも同期が取れるので便利。 
2018年記入:Xperiaのイコライザー機能が使えない為、他のアプリに乗り換えようと、まさに解約寸前のところ今まで見たことの無いボタンが…今日対応されたのですね！嬉しくてエフェクトかけまくりで聴いています!ありがとう！",6
長谷大介,2018年5月10日,1,二日前に更新したらアプリが応答しなくなり何も出来なくなった。 このままだと解約も出来ないし最悪な状態です。,0
Sleepy every dayゆまこ,2018年4月21日,3,"色んな世界の音楽が入っていていいのですが音質がシャーシャーしていて好きではないです。ヘッドホンならまたなかなかいいかもしれません。 
イヤホンは小さな音量、端末そのままで聞くということならばいいかもしれませんと個人的に思いまし 
DTSエフェクトと音質をノーマルで聴けば立体感がでて私は好きです。",9
美環,2018年3月27日,4,音楽を聴かせて曲を出してくれる機能を使ってみたら何度かアジア系の曲が出てきて間違えていたのでそれから使っていません。いい機能なのに残念です。,13
たいちゃんねる,2018年3月25日,3,もっと曲を増やしてほしいしミスチルやB'zの曲や中島みゆきの曲が聞きたい！ 有料だから聴けるように してほしい！,9
ドレミドレミ,2018年3月27日,4,back numberが聞きたいので増やして欲しいです。 ほかの曲はほんとにサイコーだと思います☺︎,8
古谷章,2018年4月12日,1,強制終了しまくり。お金払ってんだからさ、何とかしてほしいわ本当イライラします。,4
並木通夫,2018年4月30日,1,androidを更新して8になったらまったく使えなくなった！ お金払ってたのにものすごく残念。,1
田中春輝,2018年4月17日,5,もっと曲を入れてほしい！,1
Tina Diaz,2018年3月14日,1,有料登録しようとしたら、インターネットに接続していませんとでます。普通にインターネットに接続しているし一回アンインストールしたらログインすらできなくなった,8
Googleユーザー,2018年3月18日,3,歌詞が表示されていない曲があるし、歌詞が表示されていても間違っている事がよくある。それと、最近の曲が大抵無くて、欲しい曲のアルバムが出てからしばらく経たないとリリースされない事が多々ある。 けど、歌詞が無表示･誤表示と最近の曲の無さ･リリースの遅れにさえ目を瞑ればまぁまぁ程度,7
えっちゃん,2018年3月8日,4,すごい、たくさんの アーティストさんがあって 嬉しい！とても使いやすい。 オフラインで聴けるのも 嬉しい！ただ、わたしの好きな 米津玄師さんは試聴することが 出来なくて残念です、,3
0726 arara,2018年3月8日,4,歌詞が見れるのはほんとにいい！ まだ好きな曲で投稿されていない ものがあるから⭐4つ,26
白 濱ぴ ゅ れ 【追兎】,2018年2月17日,4,更新したら、ランダムで音楽が流れます。治してください,10
Tony Wang,2018年3月2日,1,歌 有時候都要讀好久才能聽,3
ロっきゅー,2018年3月17日,1,KｰPOPが少なすぎる,2
1206 mentantei,2018年3月6日,5,欅坂の新曲を早く追加してください,3
関口仁,2018年6月16日,5,amazing,1
岩田綾花3JSB,2018年1月12日,3,多々ネットワークエラーが出る。オフラインでも無いし、他のアプリは普通に使えるのに急にこのアプリ内での検索が出来なくなる。ちなみにauのAQUOS Rです。,90
平野恵美,2018年1月12日,1,今まで日本でヒルクライム聞けたのに急に聞けなくなった！改善お願いします。,7
Googleユーザー,2018年1月20日,4,１ヶ月無料は、ありがたいです。 お金なくてもいいなんて,3
町田郁弥,2018年2月16日,5,とても良いです！あえて言うなら 昔の曲ももっと聴けたらいいです！,1
1962桜雷槍,2018年1月25日,4,良いけれど最近検索ができない,1
Googleユーザー,2018年1月9日,5,全部無料で全部聞かしてください,4
はるこんぶ,2018年1月4日,4,いろんな曲入ってて良き!!でも、途中で止まっちゃったり時々ある。あと、個人的に好きなので、backnumberを入れて欲しいですｯ,4
Googleユーザー,2018年1月9日,5,毎日お風呂で聞いてます♪ 有名なものからマニアックな曲もあり、いろんな曲が聞けて嬉しいです。,4
ぱいせんマッチ,2019年11月5日,2,たまにキャッシュが失敗したり、固まったりするのでアップデート後の不具合を見直してほしい。,2
いち桃花,2018年1月7日,5,□Eってなんですか？ 意味とかってあるんですか！？ 教えて欲しいです。お願いします,1
Googleユーザー,2018年1月6日,4,中島みゆき中島みゆ中島みゆきの曲入れろ!,1
神無月妖魔,2018年1月8日,2,曲の更新がおそすぎる。,0
雅,2017年12月30日,2,アプリを起動出来ない。毎月金払ってるのにこんなの酷すぎる。,3
Googleユーザー,2017年12月29日,1,アップデート後、起動が出来なくなりました。気に入っていたアプリなのでとても残念です。,4
kyo M,2017年12月29日,3,アップデート後開けません。即対応してください。,2
Googleユーザー,2017年12月26日,2,最近ほんとに曲がかからない。有料会員なのにすぐ止まるし曲飛ばししたら曲がかからない。インストールし直しても直らないし有料会員なのがもったいないくらいです。改善お願いします,6
なーみー,2017年12月12日,3,曲を2.3曲聴いたり、2.3曲飛ばしたりすると読み込み中？から動かなくなります。 再生されません。 月々お金を払っているのにこれでは少し困ります。 せっかくいいのにもったいないです。,6
個人動画版あちゃそチャンネル,2017年11月22日,2,このアプリ、スマホ買った時からあったのですが知らない間に 今月課金が3万を超えていました。 どうゆう事ですか？ 課金って楽曲に値段書いてないじゃないですか。それに買った時からあったのにお金取るのはおかしい。,17
ぽん子,2017年12月5日,2,再生を押すしても音楽は再生されず、画面がかたまり動かなくなってしまいます。少なくとも一昨日までは普通に聴けていたんですけど…。,1
yu shi,2017年11月22日,3,バージョンアップの影響か？キャッシュした曲が480くらいあったのが180くらいしかなくなってた…突然アプリが落ちたりとかもあり初めは良いと思ってたけど最近は？？？このままの状態なら他のアプリに乗り換え検討かな,6
プチ猫,2017年12月6日,1,聴きたい音楽を読み込まない,1
Googleユーザー,2017年12月6日,5,良い,1
鈴木琴音,2017年10月28日,3,いつまでたっても再生されない。 一曲飛ばしたりした時なんて特に。  音楽聞けないなら使ってる意味なくなっちゃうんですけど  改善してください,7
キムさん,2017年11月27日,3,まえまで聴けた音楽が突然この国には対応していませんとか書いてあってんっ？となった。何故でしょうか？日本に対応していないのなら何故最初から聴けなくならないのですか？あと聴けなくなった音楽も聴きたいです。,11
CxaxK 翔 27,2017年10月25日,1,更新してから起動したら問題が発生した為終了しますと言うエラーが出て起動できません。,8
理佐推しSANA,2017年10月22日,1,まだ使ったことのないメールアドレスなのに、お試し期間が過ぎてるって言われた。,5
HIACE STAGER,2017年10月25日,4,星4の理由は、DTSがうまく動作しないからです。,4
源祐,2017年10月20日,1,"アンインストールすれば課金は,無効になる？解約の手続きするには",8
TAKUYA,2017年11月3日,2,キャッシュが出来なくなる 曲がいつまで経っても再生されない。 クロスフェードが機能しない。,2
Googleユーザー,2017年11月4日,1,更新してから、全く起動できません。問題が発生のメッセージ,0
ちーちゃん,2017年11月4日,3,フリーズすることが多いです,0
種市かおり,2017年11月8日,1,プレミアム会員にはなっていなかったのになぜ料金が発生しているのでしょうか？,0
足立太郎,2017年11月2日,5,かなり気になってます、使いやすいしいいですね。,1
、、,2017年11月1日,3,米津玄師さんの曲追加してほしい。,1
Googleユーザー,2017年11月5日,5,好きな曲が沢山聴けて最高！,0
Googleユーザー,2017年11月10日,5,オフラインで聴けるんですか?,1
アディゴス,2017年10月20日,1,気に入って使っていたのに急にアプリが開かなくなりました。 アプリを更新しても開きません。 こっちはお金払ってアプリ使っているので 早く直していただきたいです。,6
Saya yuki,2017年10月16日,1,設定を押すと強制終了する。タイマー設定とかしたい時に使えない,2
ライブラリー,2017年10月2日,4,基本的に、すごく使いやすいです！ back numberなどの曲が無かったりしますが、ほとんどの歌手の曲は揃ってます！ 改善してほしいのは、ハングル語の歌詞が入ってる曲には、ルビを入れて欲しいというところです！,10
Googleユーザー,2017年9月19日,5,このアプリは一度プレイリストに入れた曲は1ヶ月過ぎると聞けませんか？,12
大和田修,2017年9月13日,1,SDカードに入らなくなった 更新して起動しなくなった,17
酒井麻由美,2017年10月2日,4,レンタルするより安く、色々な曲が聴けるので、助かってます。,3
