,name,date,rating,content,like
19,小番英子,2020年2月7日,5,個人にあった曲の検索で一番好きな曲が聴ける事が出来ました。ミュージックチューブ配信が終了した為に、個人の気にいった曲はミュージックチューブ、履歴の消去だけで聴く事が何よりも好きでした。個人差もあり、演歌・フォークソングは全く興味がないです。仕事の時はなるべく聴く時間がないので、休みの日に視聴するのが私の癒しです。,39
20,太陽になりたい,2020年3月16日,5,,65
21,こう,2020年3月28日,4,とってもいいアプリです。ですが最近 、アプリを開いていないのにバックグラウンド再生が開いてしまいます。unknownなので曲が流れる訳では無いのですが、気になってしまうので出来れば改善よろしくお願いいたします。,30
22,ベイビーポケット,2020年3月28日,5,控えめにいって神アプリ。まぁなぜかというと曲をダウンロードする際にはギガをあまり使わないこと。また、wifiなしでもすらすら曲が聞こえることです。アプリが落ちるといっている奴ばデバイスが悪いだけからいちいち運営さんを困らせすぎ。運営さん、もっといいアプリになるようにこれからも頑張って下さい！,1
23,れちなみ,2020年4月15日,5,曲をダウンロードしただけで、本当に無料でオフラインで聞けて、凄く良いアプリです！ずっとこのアプリを愛用したいと思います！このアプリを作って下さった方々本当にありがとうございました！,0
24,骨伝導オク下,2020年3月24日,5,これはよい音痴改善メーター 音階ごとの周波数をスマホに (とれみふそらし)+い(#)で辞書登録 (例 ド→と261・ド#→とい277 ) 歌詞をひらがな化して周波数を記入 楽譜が読めないのでこうして音程を 視認して発声練習してます きっちり当たってる時間が至福です♪,2
25,NᏐᏚᎻᏐᎠᎯ,2020年3月26日,5,とても使いやすいです！ ただ1つ、プレイリストに好きな曲を入れて 順番変えてると勝手に曲が元の位置に 戻るとこが改善されればなと思います！,0
26,にゃこねこ,2020年3月8日,5,Android5.1で使わせてもらっていたのですが、突然曲をDL出来なくなりました。 インストールし直しても使えません。 対応しなくなったのでしょうか？すごくお気に入りだったので、また使わせてもらいたいです…。 追記:久しぶりにDLしてみたらちゃんと出来ました！！本当にありがとうございます！！！ 有難く使わせていただきます。,76
27,白瀬ちぃ,2020年1月26日,5,僕、お外でWiFi繋がらないので 外でも音楽とか動画みたかったりするんです！それでyoutube からダウンロードできるアプリ探してて、これ！とても最高です！ エラー発生するバグ治してくれてありがとー！！！かれからもつかいます！,15
28,はいじー,2020年2月18日,5,控えめに言って神。MP3、MP4で選んで保存可能で、もちろんオフラインで再生できる。画面消しても、他のアプリ使いながらでも継続して流せる。本体にダウンロードできるからMP3ならアラームとかにも使えるし、YouTubeのあらゆる動画がある。本当に非の打ち所がない,174
29,片山ホーム,2020年4月2日,4,よく使っています！！でも、次を再生するシステムが欲しいです。あとはいいんですが、、、。あと、便利すぎて、、、法律的に大丈夫なんでしょうか？？YouTubeのものをダウンロードしていると思うので、、、。ちょっと心配です😅,7
30,SDBH肩こりゴジータ,2020年3月24日,3,途中まで良かったのですが、ダウンロード完了数が160？回超えると100件くらいダウンロードしたのが消えてしまいます。( ；∀；）お早めの対処お願いします(´･ω･`; ),17
31,佐村河内守男,2020年3月31日,5,オフライン・ダウンロードの意味をこちらが勘違いしているだけかもしれないが、機内モードにすると聞けなくなる。 ただ、便利そうなので使います。,0
32,小林ゆめ,2020年4月11日,2,とても良いのですが、ダウンロードができなくなってしまってオフラインでは聞けません。あと、スマホを閉じると曲が止まったりします。前はそんなことなかったのですが…改善して欲しいです。,0
33,梅おにぎり,2020年4月16日,5,使いやすいが、ステータスバーのところのバツ印を押すとアプリが再起動する仕様を変えて欲しい。いちいち再起動した時間を待つのが面倒くさい。,0
34,川村こよ奈,2020年4月4日,5,まじで神アプリ！どの音楽アプリも電源切ると勝手に音楽切れちゃうけど、このアプリは電源切っても聞けるから電池の消費とかに最適！音楽切りたい時もすぐ消せるからめっちゃいい！今までのアプリで一番いいアプリ！,2
35,温井お茶,2020年4月18日,5,本当にオフラインで聴けて今まで入ってない曲が見つけられたりと凄く便利なのでオススメです！！あと音割れ？があるのでそこさえ直してもらえれば最高ですね,0
36,めいめい推し,2020年1月28日,3,黄色の時から愛用させて頂いております。 とっても良いアプリです。 ただ、一つだけ直して欲しいところがあります。 それは、黄色のアプリでダンロードした楽器を青色に以降出来るようにして頂きたいです。 どうかご検討をよろしくお願い致します。,4
37,- KAGURA,2020年3月19日,1,ついにフリーズしてアプリすら開かなくなりました。最初の頃とは違って更新があってからは会社の利益を優先するために広告を大量に表示しまくるようになりました。そのせいか最近はずっと起動すら出来ない状態です。初期の頃から愛用してきましたが、もう諦めて今日でアンインストールする事にします。信頼していたのに裏切られた様で本当に残念です。 追記・相変わらずゴミ(笑)なにが改善したって？何も変わってねーだろwwwエラーばっかでろくにダウンロード出来たらもんじゃねぇ。こんなゴミ糞運営野郎がいくら改善無駄だろ(笑)本当無駄に期待させやがって,212
38,小泉里穂,2020年2月25日,3,とても使いやすいんですが、オフライン音楽プレーヤーなのにオフラインだと聞けないのはどういうことなのでしょうか？また、1回1回の反応が悪いと思います。WiFiの環境下なのでもっとサクサクと動いてください,43
39,如月蓮,2020年4月5日,3,動画で見れてあんまりギガも使わないからいいと思う ただ、何故か途中途中途切れたり、止まって消えたりしてることがあるからちょっと………ってとこはあります,0
40,Puregold,2020年4月18日,5,今では普通なのかも知れませんが、ホームボタンを押しても音楽が止まらないことに感動してます☆使いやすく楽曲数が多くお気に入りです👑,0
41,TKR 、,2020年4月17日,3,音楽がオフラインで聞けると聞いてこのアプリを入れたのですがダウンロードの方法をアプリ内で分かるようにするともっと良いと思います 音楽の質はとても良いと思うのでこの点数にさせていただきました,2
42,Googleユーザー,2020年3月8日,1,「エラーが発生しました。もう一度試してみよう」って出てダウンロード出来ないのなら、表示しないでくれ　あと音楽じゃないのも表示しないで 追記:これはバグなのか？削除した覚えがないのに曲が突然、端末から消えてるんだけど　 削除しちゃってももう一回ダウンロードできるようにしてほしい,22
43,mai mai,2020年2月11日,5,とても使いやすくて愛用しています。最近、携帯をAndroidからiPhone XRにしたのですが、iPhoneXRに対応していないみたいで、このアプリが見つかりません。iPhoneXRに対応して欲しいです。よろしくお願いします。,3
44,norik S.,2020年4月5日,4,勝手に、曲を飛ばすのが、最悪です。全曲演奏しません！聞きたい曲が、聞けないアプリだけど、無料だから我慢してます。,0
45,中村眞司,2020年4月17日,5,中々良くできたアブリ。ダウンロードの仕方がよく分からない。が曲がそろつてて楽しめる。他のアブリは曲が検索ひくとあまりない。でこれがいい。,0
46,恨み恋:82:,2020年2月29日,4,曲を追加しようとすると、 作成した時のはじめの曲は 入っているのですが、次にまた同じリストに違う曲を追加しようとすると何故かアプリが閉じてしまいます。 いつもよく使っているので、改善の方、宜しくお願いします。,5
47,岩永実桜,2020年3月11日,5,アプリのバックグラウンド再生など出来ることが多くていいです ただ、アプリを消すと音楽が止まるのが 少し困ります ニコ動は消しても止まらないんですが… 他はとてもいいと思います,0
48,あめちゃん,2020年3月21日,4,自分の好きな歌をインストールして、聞けるってことはいいんですが、急にインストール出来なくなってしまいました。これはどういうことか分かりませんが、インストール出来なくなってしまったことは少し悲しいです。,0
49,Off Take,2020年4月15日,5,オフラインでも音楽が聞けるのがすごいと思う。 しかもバックグラウンド再生も出来て万能と言える。 だから広告はしょうがない,0
50,内村華織,2020年3月31日,4,オフラインで聞けてとてもいいアプリだなと思いますが、最近全く曲がダウンロードできないのですがこれはどういうことですか?早めの対応お願いします。,1
51,メリオダス,2020年4月4日,5,今までの中で一番良い！何よりスリープモードでもホーム画面にいるときでも聞けるし何より無課金、音質もよいし申し分はない。,0
52,田中伸弥,2020年2月8日,4,ダウンロードも簡単で、曲もたくさんあります！ ちょっとダウンロードした曲が多くなると新しくダウンロードするとき遅くなるけどそれ以外は全然問題ありません！ 良いアプリですよ～👍,64
53,ゆっくり春チャンネル,2020年1月26日,5,良かった、今日起きて直ぐに入れたい曲をやってみたら、ダウンロード出来て、嬉しさのあまり発狂してました!!!改善の修正有難うございます!!!これからも、愛用します!!!,47
54,まさるTV,2020年2月29日,4,たくさんの音楽が聞けてとても使いやすいアプリで、僕はAndroidを使っていて機種が原因か分かりませんが画質が悪いです よければ画質を良くして欲しいです。,1
55,野口祐也,2020年3月24日,4,ある程度は問題ないから星4位かな。 たまに落とせない曲も有るから。 でも曲は多いし落とせばオフライン再生可能な点は良い。,0
56,Mimika轟の嫁,2020年4月3日,4,あーこれYouTubeのをそのまま再生するだけなんね。てことはYouTubeのプレミア会員入る必要ないんじゃないかな、、w これで色んな曲聴いてるし容量軽いので愛用させてもらってます！,0
57,クラリネット奏者,2020年2月24日,5,とても使いやすいです!他のアプリを使いながら流せるアプリを探してたんです!曲のダウンロードも、とてもわかりやすく私は気にってます (・∀・)ｲｲﾈ!!(・∀・)ｲｲﾈ!!,3
58,o atsu,2020年4月15日,5,YouTubeで聞くよりめっちゃ快適。音楽を頻繁に聞く人や、勉強や作業をする時に音楽を聴く人にはおすすめ!!!!,0
59,前田ピカ,2020年2月8日,4,すごく使いやすいので愛用しています！ けれどスマホを変えたら曲をまたダウンロードし直さないといけなくてすごく大変でした。 引き継ぎ機能をつけて頂けると嬉しいです！,4
60,めい,2020年4月10日,5,とっても面白いです！ 課金なしで出来るのでとても便利です。 インターネットなしでも聞けるのも良いです。,0
61,マンゴーリンゴ,2020年4月9日,4,音量調整ができるように、してほしいけど、別のアプリを開きながら、好きな曲が聞けるのでかなり楽しいです。,0
62,或守鞠亜,2020年4月13日,5,画面を消しても曲を 聞くことによって 充電もあまり減らないし それに、たくさんの曲があって 個人的には好きなアプリです,0
63,プラマイ,2020年2月2日,1,曲をダウンロードしようとしても出来なかったのでプレイリストも作成できず1曲ならできたのですが他の曲が入らないとなるとプレイリストの意味が無くなってしまうし、そもそも曲が聞けないので使うことが出来ませんでした。,100
64,みかちん&まっすーラブ,2020年2月23日,3,お気に入りの曲があり、オフラインでも聞けるのが嬉しいけど、中国語なので説明がわかんない。日本語にしてくれたら5なんですけどね。,0
65,チキンガーガー,2020年2月21日,4,曲を引っ張り出して閉じてても聞けるのはいいと思ったし、動画を保存できることがとても満足しました。けど関係ない動画などが出てきて困りました。間違えて押したりとか…,4
66,クラリネット吹き,2020年4月4日,5,広告も少なくいいです。 オフラインでも使えて、別のアプリを使っている際も音楽を聞けます。,0
67,高橋葵,2020年3月15日,5,ダウンロードしちゃえばいつどこにいても使えて便利です。広告も、ないからイラつくことがないと思うと思います。！歌が何でも出てくるし、音質がいいです。！,2
68,Masato Ryuzaki,2020年4月18日,5,よく本人じゃなくカバーや素人しか入ってないのがありウザいですが、意外な曲もあり音だけダウンロードできるのがうれしい。,0
69,まつおかまこと,2020年3月22日,5,J-POPから、洋楽、韓国、色んなジャンルの歌が聞けて、音楽もmp3.mp４としてダウンロード出来て大変良いアプリです。,0
70,かてりん,2020年3月2日,5,フルで視聴可能、バックグラウンド再生が可能で広告もない。 やっと最高の音楽アプリに出会えました。長く使えるのでおすすめです🎵,0
71,SR 0024,2020年3月13日,5,音質もいいし、他のアプリ使ってても音楽が聞ける。オフラインだからどこでも自分の好きな歌が聞ける。 歌もいろんな種類があるから凄くいいアプリだと思う。,0
72,Miiメイプル,2020年3月23日,5,定期的に使ってます！ オフラインで聞けるのがとてもgood⤴( ≧∀≦) これからも使わせていただきます！,0
73,坂谷雅生,2020年4月16日,5,最高です！アニメやゲーム主題歌がすぐ見つかる!懐かしいです！ アニメやゲームファンにはたまりません,0
74,h ovlesser,2020年3月18日,4,本当だったら4.5くらいですね 広告が特になくやりやすいですが 音楽を流すときにYoutubeって一瞬出てきて本当に4G掛からないのか？と思いました それ以外はとても使えます！！,0
75,no ko,2020年2月25日,3,オフラインで使えるのか？フライトモードでは再生できず。やり方がわからない。でもとても曲が探しやすいし幅が広いから、懐かしい曲も聞けて良い。,1
76,K K,2020年3月26日,5,これ最高だね！アプリを閉じても聞けるっていいよね！うん、これは、いいアプリだー！このアプリに出合って良かった➰😃,0
77,。。,2020年3月6日,4,かなり長く使ってて、とても愛用させて頂いてます。ですが、聴いている途中に勝手に止まってしまうことが多々あるので、改善おねがいします😭🙏🙏,53
78,山田希実,2020年2月3日,5,検索すれば色々な曲が聞けるのでとてもいいアプリだと思います！ しかも無料で聞けるのでとても嬉しいです！ ダウンロードもできるのでいいと思います！ 絶対ダウンロードした方がいいと思います！,11
79,杉めい,2020年3月8日,4,YouTubeの歌なので一般人が歌っているのとかダウンロードしてしまう事がありますが、検索もしやすくオフラインでも使えるので便利です。,0
80,あかさたなはまやらわ,2020年3月18日,4,ダウンロードしたらいつでもどこでも曲が聞けて嬉しいです。 でもダウンロードしたやつしか聞けないので全てがどこでも出来るようにしてくれたら嬉しいです。,0
81,小野寺舞,2020年3月25日,5,普通に使いやすい。 これでもう少しバリエーション豊富だったり望んでいた曲があると嬉しいなァ〜,0
82,N Yuri,2020年3月30日,2,これオフラインでどうやったら聞けるんですか？すべてプレイリストに入れてるのに再生されません。曲数は豊富な方なのでいいと思ったのに残念。,4
83,阿部真鈴,2020年4月17日,5,オフラインで聞けてとても便利です！！！ 曲も十分に聞けるので入れて良かったです！,0
84,日本人であることを誇るべきだ,2020年3月3日,5,とても良いと思います。 ただ、YouTubeから引用しているので少ないですがそれ以外が見つかりにくいです(BANから逃れるため名前を変えているものなど),1
85,角田美紀,2020年4月16日,5,無料でダウンロード出来る嬉しいアプリです。曲数がもう少し増えるともっと嬉しいです。,0
86,佐藤静恵,2020年2月19日,4,スマホデビューしたばかりで、何所でも、何時でも音楽を身近に感じられて満足。 でも操作には少々不慣れ…更にチャレンジしてみます。,0
87,N右ネジの法則,2020年2月28日,3,星3ですが2.5ぐらいですかね。 曲をMP3ダウンロード出来なくなっています 出来たり出来なかったりが多すぎです。 出来た時はサイコーなんですがね笑,0
88,ガブリエル,2020年3月15日,3,バックグラウンドで聞けるのはいいけど、オフラインではないですよね？普通に通信料掛かりましたし、機内モードでも音楽聞けなくなりました。,8
89,Ena Aoba,2020年4月1日,1,オフラインで聞けない！そもそも保存できない！プレイリストに追加しかない！過去に出来てたのに今はできない,3
90,ときのはぐるま,2020年3月7日,5,一度は自分の通信契約上無理と判断してアインスールしましたが今度は大丈夫です、大事にします。やっぱりこのアプリは全てにおいて最高だと思います。,12
91,itsubo kmr,2020年3月31日,5,神アプリです！ダウンロードしておけば、外でもギガを使わず音楽を聞くことが出来るずっとこういうアプリ探してた！,1
92,山田山田,2020年1月26日,1,そもそも動画が再生出来ないから保存のしようがない。他のアプリで動画は見れるから接続の問題ではないと思うんだけど。 あ、契約してないスマホだと使えないとかってあります？,19
93,えだまめ,2020年2月11日,3,プレイリストに保存しようとすると、問題が発生しましたと表記されて保存できません。 それ以外は満足しているので出来れば直して欲しいです。,2
94,Tossimazza Irizza,2020年4月18日,4,オフラインで使えやすいです！あと、音楽の画面を大きく出来たら嬉しいです！ よろしくお願いします！,0
95,鈴木,2020年3月17日,5,とてもいいアプリです。オフラインで聴けます。 音楽を聴きながら他のアプリも操作できて最高です。 オススメの音楽もあります,0
96,伊桜莉,2020年4月4日,4,ほんとに電波切ってても使えるしいいけどたまにダウンロードできない曲があって困ってます。それ以外は、ほんとにいいアプリ,1
97,HmH HmH,2020年3月14日,5,Android9.1で使っています。音質も申し分ない! ダウンロードに時間が掛る点を改良して欲しいです。 無料でこれだけ聴けたら文句無し！,0
98,t kebin,2020年3月17日,5,完全無料なのに、無料色んな音楽を聴けて、ダウンロード出来るので、たいへん便利なアプリだと思います。,1
99,シャム猫,2020年4月3日,4,前使ってたときはダウンロードできたんですけど、今ダウンロードできなくなってるのはどうしてですか？ ダウンロードできたら☆5なのに…,0
100,松本蓮太郎,2020年4月10日,5,、 は りやかたさまはまはまはのまさやはおはたはつけとらまさとほかとぼなかほ（ぼやたぼなもらたそ（ぼなたほみぬおほゆそよら なはやはやらまはたはたそやらたそよらまけとひむそ（さのらむさもはむぞなたほめ（ろなたはとやまほむそのぬたそみねにかたはたさまはまはたさたさたさたさたさたさたさたさたさかさかさかさかさかさかさかさかさか,0
101,なしネコ,2020年2月21日,5,動画か音声か選択できていいね！YouTubeの動画もダウンロードできるからとてもいいな。神。,2
102,Z雑魚野郎,2020年3月19日,4,凄く助かるけれど ゲームをやりながら音楽再生中をすると小さなタグが凄く邪魔になるときがあるから 設定で非表示に出来るようにして欲しい,0
103,中島美佐子,2020年4月1日,1,凄く良いんですが、一曲ずつでやシャッフルではなくて、全部まとめて一気に一辺になので、星は1つですよ～🌠,0
104,Ayuri Maeda,2020年1月31日,1,曲がダウンロード出来ない 使えない ダウンロードできてもすぐどっかに消えて元に戻らない最悪 ダウンロードした曲すぐ消えるし戻らないしダウンロードした曲を読み込むボタン全然戻らないしなんでダウンロードした曲消えるのまた1からやり直すのめんどくさい1日で曲消えたクソ,7
105,森田智子,2020年4月19日,5,勉強をしている時に音楽を聞きながらできて、しかも画面が暗くなっても音楽が流れていれるので最高です‼️,0
106,だいふく,2020年1月26日,4,少し不具合は発生しますがすぐ改善され、毎日使わせて頂いてます。とても便利です。,1
107,ピンクの熊,2020年3月3日,4,オフラインでもプレイリストを作成できるのは神過ぎ、でも広告がしょっちゅう来るのがちょっと残念、,0
108,タカハシテルユキ,2020年3月26日,2,プレイリストに追加する時にエラーが絶対発生して強制的に落ちる,1
109,れいちぇーる,2020年1月26日,5,検索候補が出てくるので便利で探しやすいです！ ランダム再生が出来るようになればさらに最高です…。,5
110,みかんみ,2020年1月30日,1,アップデートしたら、曲がダウンロード出来なくなった。前まではオフラインで聞けてたのに、、、アイインストールします,8
111,のあ,2020年2月8日,5,とても良いとおもいます！ WiiFiはないと使えないけど 他のアプリをしながら聞けるのでいいと思います,1
112,ハルママ,2020年2月14日,4,結構マイナーな曲でも聞けるし気にいってます。 ただたまにどの曲選択しても同じ曲が流れてるのでそこだけ気になる。,0
113,Fairy tale,2020年4月1日,5,オフラインでも歌が流せるし、歌をYouTubeからダウンロード出来るからとてもいい。,0
114,アキヤマノア,2020年4月14日,5,音楽が聞けて、画面を見なくても聞けるから、いいと思う！,0
115,闇乃朱理,2020年1月26日,2,応答出来ないとかダウンロードしても電源消したらまた電源が切れててこれは改善点を2つぐらいあった方が良いかも知れませんね。,2
116,鈴木淳,2020年3月26日,1,これは本当にオフライン再生なのでしょうか？ Wi-Fi無い所で聴いてたら速度制限掛かりました。,1
117,You To,2020年3月25日,5,すごく使い方が簡単で、オフラインも出来て気に入ってます。,0
118,EPIC龍が如く,2020年2月7日,5,とっても使いやすく簡単操作で最高ですでもダウンロード出来ない曲があったのでそこは直して欲しいですでも最高なので5つ星！,1
119,萩芳,2020年4月6日,5,最新の曲から古い曲まできけて、最高です！ありがとうございます,0
120,木村輪廻,2020年2月6日,3,何故か、ダウンロードボタン自体がなく、オフラインで聞きたくても出来ません。バージョンが古いからでしょうか？,6
121,金井田綾乃,2020年3月10日,1,オフラインで再生出来なくなりました。 せっかくダウンロードしたのにオフラインで聞けなかったら意味が無い。,6
122,ひなりん,2020年4月18日,4,Youtubeにある曲だったら全部聞けるし、アンロック機能もあるから普通に便利。,0
123,Mochi饅頭【まんじゅう】,2020年1月26日,5,曲がダウンロード出来ないエラーが直ったのでとても良かったです。 このアプリ良い。オススメ,7
124,1418 Shake,2020年1月26日,5,自分Android勢なんですけど全然重くならないし普通に音楽も聴けてプレイリストも作れるのでいつも使わせてもらってます😊,5
125,谷津茜,2020年2月15日,4,使っていてすごく便利！だけど、時々ダウンロードに失敗しましたって来るのが少し嫌かな。,1
126,瀏羸,2020年3月8日,4,ダウンロードしてもダウンロードされない時があるので、そこを修正してほしいです。それ以外はとても良いと思います。,1
127,シオタニア,2020年3月14日,4,まだ使いはじめたばかりです。好きな曲など聴きやすいし、これからじっくりと使用してみます。,0
128,山口紗奈,2020年3月1日,5,最近更新したらめっちゃ良き オフラインでも消えるようになったし、プレイリストが作りやすくなった,0
129,パスタパタ,2020年2月1日,1,最近アプリが勝手に落ちることがあります。前までそんなこと無かったのに起き始めてちょっと使いずらくなってて正直イラッとすることが度々です,3
130,海mama,2020年2月23日,2,機種変更したら曲のダウンロードができなくなりました 前の機種ならダウンロードできます 修正してください❗ それ以外はありがたいアプリです👊😭✨,4
131,若狭美来,2020年4月2日,2,ダウンロードしようとしたらエラーが発生することがあります。改善をお願いします。,1
132,minami hope,2020年3月22日,1,全く使えない。ダウンロードできない。ずっと保留みたいになってるし。文字も読みにくいし,0
133,高田哲史,2020年3月28日,5,使い初めですがWiFiのあるところでたくさんダウンロードして使えばかなり使えます。,0
134,1 PICA,2020年2月13日,4,Androidでは無料音楽アプリが少ないのでとっても使いやすいです 出来れば歌詞機能をつけてもらえればとっても嬉しいです,0
135,真利子藤井,2020年2月11日,1,プレイリストに追加が出来なくなった。 (試行回数100は超えてる),1
136,暇な人,2020年3月16日,5,控えめに言って神です 画面閉じても、他のアプリ開いても使えます 保存してオフラインで聞けるのも魅力の一つです,0
137,Googleユーザー,2020年3月12日,1,オフラインで聞けるアプリと聞いてダウンロードしたのですがオフラインで聞くことができずやり方が分からなかったです。,5
138,1 hide,2020年3月28日,5,ジャンルも多く曲数も多い、大変満足してます。,0
139,あゆ,2020年4月2日,5,使いやすくてとてもいいアプリです。みなさんもたくさんの曲が聴きたかったらこのアプリがおすすめです,0
140,抹茶もこ,2020年4月10日,5,ダウンロードもできるし、ギガ節約もできる、自分のリストも作れます。 便利！！使いやすい！！,0
141,Aoi Ito,2020年4月13日,2,曲をダウンロードするボタンがないので、オフラインで聞けません,2
142,九十九-tukumo-,2020年4月16日,5,めっちゃ使いやすい！ オフラインでも音楽聴けるからめっちゃ助かる！,0
143,畑万貴子,2020年4月16日,4,とってもいいです！ でも、ホームに戻ると動画が出できて邪魔です…,0
144,腹立つ海苔,2020年2月5日,1,YouTubeのプレイリストをインポートしたとき、順番がぐちゃぐちゃになります。うざいです。黄色の時もですよ？だから中国の会社は荒野行動といいクソアプリしか作らんな(余談:PUBGもフォトナも嫌いだけど),0
145,1128 huutyn,2020年2月22日,5,音楽ずっと流れてていい！電源切っても付いててずっと聞いていられる😄,1
146,ポンカンの天ぷら,2020年1月29日,3,他の曲はできるんですけど、妄想感傷代償連盟という曲がダウンロードできません。改善してください(ToT),4
147,マツウラジュン,2020年1月27日,3,前まではダウンロードすればオフラインでも聞けたのですが、今ではオフライン状態で聞けなくなりました。,4
148,arisa daisuke,2020年1月29日,1,プレイリストが作れない。非常に不便です。アップデートしてから、出来なくなりました。改善お願いしたいです。,2
149,るこは,2020年3月2日,5,ダウンロードすればオフラインでも聴けるので、とても便利です！！,0
150,吉川貴規,2020年3月26日,5,まだ使い始めたばかりで使いこなせてませんが、結構曲数も多くて気に入ってます♪,0
151,内村福美,2020年4月7日,5,バｯクナンバー、のハｯピーバー、スデｨー、が入っているから好き、あと菅田将暉さんの間違いさがしもとても好き。,0
